Listing ID,Price,Address,Beds,Baths,SqFt,Link,Image URL,Latitude,Longitude
51585585,"$1,000,000","3450 Cahuenga Blvd W #905, Los Angeles, CA 90068",2 beds,2.5 baths,"1,921",https://www.redfin.com/CA/Los-Angeles/3450-Cahuenga-Blvd-W-90068/unit-905/home/51585585,https://ssl.cdn-redfin.com/system_files/media/1096989_JPG/genDesktopMapHomeCardUrl/item_3.jpg,34.1327368,-118.3535227
193007181,"$1,850,000","3649 Regal Pl #404, Los Angeles, CA 90068",3 beds,3 baths,"1,731",https://www.redfin.com/CA/Los-Angeles/3649-Regal-Pl-90068/unit-404/home/193007181,https://ssl.cdn-redfin.com/photo/40/islphoto/701/genIslnoResize.25571701_0.jpg,34.1342348,-118.3620943
21925088,"$5,950,000","6446 W Weidlake Dr, Los Angeles, CA 90068",4 beds,5 baths,"6,204",https://www.redfin.com/CA/Los-Angeles/6446-Weidlake-Dr-90068/home/21925088,https://ssl.cdn-redfin.com/photo/40/islphoto/862/genIslnoResize.20-636862_0.jpg,34.1157351,-118.3298564
7129663,"$1,525,000","2434 Cazaux Pl, Los Angeles, CA 90027",3 beds,2 baths,"1,459",https://www.redfin.com/CA/Los-Angeles/2434-Cazaux-Pl-90068/home/7129663,https://ssl.cdn-redfin.com/photo/40/islphoto/313/genIslnoResize.25571313_1.jpg,34.1154055,-118.3146655
7127106,"$600,000","1942 Grace Ave #223, Los Angeles, CA 90068",2 beds,2 baths,"1,116",https://www.redfin.com/CA/Los-Angeles/1942-Grace-Ave-90068/unit-223/home/7127106,https://ssl.cdn-redfin.com/photo/45/islphoto/458/genIslnoResize.SR25169458_1.jpg,34.1066646,-118.3318694
7114943,"$3,980,000","1960 Hillcrest Rd, Los Angeles, CA 90068",6 beds,6 baths,"6,341",https://www.redfin.com/CA/Los-Angeles/1960-Hillcrest-Rd-90068/home/7114943,https://ssl.cdn-redfin.com/photo/40/islphoto/683/genIslnoResize.25570683_0.jpg,34.1065992,-118.3397409
7130481,"$950,000","2536 Vasanta Way, Los Angeles, CA 90068",2 beds,2 baths,"1,362",https://www.redfin.com/CA/Los-Angeles/2536-Vasanta-Way-90068/home/7130481,https://ssl.cdn-redfin.com/photo/40/islphoto/807/genIslnoResize.25569807_8.jpg,34.1158132,-118.3238647
7127505,"$1,200,000","2251 N Cahuenga Blvd, Los Angeles, CA 90068",2 beds,2 baths,"1,133",https://www.redfin.com/CA/Los-Angeles/2251-N-Cahuenga-Blvd-90068/home/7127505,https://ssl.cdn-redfin.com/photo/40/islphoto/649/genIslnoResize.25570649_2.jpg,34.1109532,-118.3329308
7128461,"$2,300,000","6411 Tahoe Dr, Los Angeles, CA 90068",4 beds,2.5 baths,"2,290",https://www.redfin.com/CA/Los-Angeles/6411-Tahoe-Dr-90068/home/7128461,https://ssl.cdn-redfin.com/photo/40/islphoto/895/genIslnoResize.25569895_0.jpg,34.1279983,-118.3300769
7114421,"$570,000","6700 Hillpark Dr #302, Los Angeles, CA 90068",2 beds,2 baths,"1,059",https://www.redfin.com/CA/Los-Angeles/6700-Hillpark-Dr-90068/unit-302/home/7114421,https://ssl.cdn-redfin.com/photo/45/islphoto/582/genIslnoResize.GD25163582_0.jpg,34.117695,-118.3388867
